Hospital_ID,Hospital_Name,State,Region_Type,Population_Density,Total_Beds,Occupied_Beds,Doctors_Count,Nurses_Count,Daily_Patient_Inflow,Emergency_Cases,OPD_Visits,IPD_Admissions,Avg_Treatment_Cost,Equipment_Availability_Index,Medicine_Stock_Index,Distance_to_Nearest_City_km,Satisfaction_Score,Mortality_Rate
1,Hospital_1,Maharashtra,Urban,13799,440,440,44,110,251,97,391,145,13336,0.68,0.57,33.65,1.2,3.02
2,Hospital_2,Delhi,Urban,4624,238,238,90,151,679,145,1064,200,4858,0.3,0.96,70.86,1.02,1.32
3,Hospital_3,Karnataka,Urban,15293,367,30,26,77,884,5,1289,68,11839,0.93,0.99,1.95,4.53,0.93
4,Hospital_4,Delhi,Urban,16323,315,315,20,157,443,179,634,275,14983,0.4,0.59,32.35,1.46,2.84
5,Hospital_5,Delhi,Urban,18768,53,53,95,37,923,39,1439,16,17759,0.62,0.89,68.35,3.34,4.2
6,Hospital_6,Kerala,Rural,5413,371,371,64,23,774,192,1491,211,7629,0.63,0.2,16.08,4.81,1.95
7,Hospital_7,Karnataka,Rural,13698,98,98,64,181,566,41,76,246,16521,0.33,0.25,56.48,3.05,0.48
8,Hospital_8,Karnataka,Rural,13158,255,255,14,86,856,195,504,277,9844,0.34,0.22,17.72,1.56,3.16
9,Hospital_9,Karnataka,Rural,17241,402,348,29,125,913,31,967,88,8305,0.83,0.82,16.32,2.57,3.86
10,Hospital_10,Delhi,Rural,4987,292,64,35,176,886,9,629,55,18806,0.51,0.26,77.46,3.5,1.55
11,Hospital_11,Maharashtra,Rural,3954,180,180,25,37,258,68,63,252,9320,0.59,0.21,27.39,4.05,3.48
12,Hospital_12,Karnataka,Rural,12558,194,194,95,98,353,8,147,297,11711,0.69,0.32,38.2,3.43,0.47
13,Hospital_13,Delhi,Urban,14636,385,136,85,41,168,68,328,169,16128,0.56,0.45,73.27,1.14,1.87
14,Hospital_14,Kerala,Urban,3658,327,327,37,146,642,188,539,124,13440,0.84,0.57,18.77,1.57,2.42
15,Hospital_15,Maharashtra,Rural,9872,393,202,35,165,427,138,1034,123,14824,0.92,0.25,53.64,2.49,3.93
16,Hospital_16,Kerala,Rural,17445,483,252,94,104,36,98,1010,135,18012,0.34,0.6,91.86,3.82,1.76
17,Hospital_17,Maharashtra,Urban,3675,240,240,25,26,933,195,673,99,9455,0.74,0.4,55.83,3.34,2.32
18,Hospital_18,Delhi,Urban,2518,28,28,40,126,245,73,256,70,1519,0.52,0.42,5.84,1.18,3.18
19,Hospital_19,Tamil Nadu,Urban,4298,308,308,69,86,671,102,1306,111,16140,0.71,0.86,59.38,4.19,3.16
20,Hospital_20,Maharashtra,Urban,1101,463,418,8,64,675,122,646,123,3341,0.64,0.99,9.93,3.42,2.64
21,Hospital_21,Kerala,Rural,7219,132,132,72,19,279,101,744,183,11639,0.53,0.57,28.93,4.55,1.71
22,Hospital_22,Delhi,Urban,19329,496,101,94,89,748,7,1312,101,5977,0.37,0.46,85.12,2.67,3.38
23,Hospital_23,Maharashtra,Rural,9773,224,224,8,143,693,176,299,192,9366,0.69,0.95,2.1,2.96,4.2
24,Hospital_24,Tamil Nadu,Rural,5416,424,424,13,185,623,151,789,214,17892,0.38,0.6,8.62,2.62,0.85
25,Hospital_25,Tamil Nadu,Rural,16344,205,205,34,125,193,160,355,204,18110,0.41,0.78,36.97,3.89,1.77
26,Hospital_26,Karnataka,Urban,16906,360,193,49,178,862,18,1309,34,18519,0.99,0.53,99.94,4.01,3.38
27,Hospital_27,Karnataka,Urban,11973,216,47,8,88,224,1,1364,243,14068,0.52,0.36,29.89,3.89,3.8
28,Hospital_28,Kerala,Rural,4366,285,148,73,69,434,54,1112,25,11530,0.71,0.72,16.57,2.17,3.93
29,Hospital_29,Maharashtra,Rural,7649,281,204,27,51,527,138,1047,150,12502,0.49,0.73,55.39,3.54,3.3
30,Hospital_30,Maharashtra,Rural,19194,267,24,20,125,172,16,767,117,8029,0.91,0.57,52.41,2.35,2.44
31,Hospital_31,Karnataka,Urban,10689,134,134,26,118,122,169,232,89,18569,0.5,0.42,45.51,4.34,3.26
32,Hospital_32,Maharashtra,Rural,1757,140,140,76,80,733,60,694,85,16210,0.56,0.87,94.72,1.22,0.76
